Data Source,World Development Indicators,,,,,,,
Last Updated Date,10/7/25,,,,,,,
Country Name,Country Code,Indicator Name,2019,2020,2021,2022,2023,2024
Aruba,ABW,GDP growth (annual %),-2.232442027,-26.21182021,24.13262736,8.517918105,4.263719415,
Africa Eastern and Southern,AFE,GDP growth (annual %),2.200340433,-2.859783921,4.563568076,3.555768787,1.891307387,2.76680373
Afghanistan,AFG,GDP growth (annual %),3.911603416,-2.351100672,-20.73883937,-6.240171992,2.266943736,
Africa Western and Central,AFW,GDP growth (annual %),3.282162998,-0.984117425,4.030000306,3.974963545,3.357986995,4.176102889
Angola,AGO,GDP growth (annual %),-0.702272958,-5.638214717,1.199210521,3.044726524,1.07809952,4.423904529
Albania,ALB,GDP growth (annual %),2.062577902,-3.313756369,8.969576191,4.826696119,3.936616892,3.961719112
Andorra,AND,GDP growth (annual %),2.015547638,-11.18393994,8.28677879,9.564612256,2.58355481,3.371820326
Arab World,ARB,GDP growth (annual %),1.726916137,-4.757144996,4.40457596,6.995413818,1.504355199,1.548919124
United Arab Emirates,ARE,GDP growth (annual %),1.108348135,-4.957052433,4.354755297,7.509697035,3.618706531,3.761615446
Argentina,ARG,GDP growth (annual %),-2.000861003,-9.900484814,10.44181199,5.269879674,-1.611001621,-1.719105147
Armenia,ARM,GDP growth (annual %),7.599999999,-7.199999999,5.800000001,12.6,8.3,5.9
American Samoa,ASM,GDP growth (annual %),-0.487804878,4.411764706,-0.782472613,1.735015773,,
Antigua and Barbuda,ATG,GDP growth (annual %),3.172221937,-18.86877652,8.172863112,9.107806234,2.427363001,4.32752145
Australia,AUS,GDP growth (annual %),2.171545057,-0.119590736,2.111168148,4.242385553,3.4419922,1.43111252
Austria,AUT,GDP growth (annual %),1.754976196,-6.318255092,4.795328857,5.277894485,-0.954962529,-1.173540536
Azerbaijan,AZE,GDP growth (annual %),2.479808934,-4.198960792,5.616440269,4.714680379,1.354477318,4.071402105
Burundi,BDI,GDP growth (annual %),1.812565324,0.327156893,3.099999999,1.848999439,2.665539604,3.489231748
Belgium,BEL,GDP growth (annual %),2.442890045,-4.792983908,6.207599813,4.259360737,1.201691782,1.018898625
Benin,BEN,GDP growth (annual %),6.865686628,3.8487924,7.155451646,6.252947054,6.352777385,7.453115662
Burkina Faso,BFA,GDP growth (annual %),5.889204971,2.010772624,6.942524926,1.497239741,2.960181474,4.985103006
Bangladesh,BGD,GDP growth (annual %),7.881915151,3.448017551,6.938679124,7.099828776,5.77511237,4.223259113
Bulgaria,BGR,GDP growth (annual %),3.788850365,-3.215737434,7.780614814,4.038777583,1.886814839,2.810827752
Bahrain,BHR,GDP growth (annual %),2.052877744,-5.911362952,4.350040917,6.180161255,3.878116148,3.017248391
"Bahamas, The",BHS,GDP growth (annual %),-0.839051301,-20.08955543,17.58689737,10.87745501,3.048774963,3.378506607
Bosnia and Herzegovina,BIH,GDP growth (annual %),2.887343344,-3.015095148,7.38996234,4.226811011,1.994395203,2.480047084
Belarus,BLR,GDP growth (annual %),1.446455477,-0.672742951,2.438862124,-4.658395916,4.126540072,4.009848525
Belize,BLZ,GDP growth (annual %),4.267636896,-13.90291006,17.74617012,9.652977724,1.149016821,8.151789827
Bermuda,BMU,GDP growth (annual %),0.307106461,-6.827573035,4.607429171,6.476225712,4.917215573,2.105368822
Bolivia,BOL,GDP growth (annual %),2.21670564,-8.737884358,6.111372697,3.605680426,3.08196521,1.38468279
Brazil,BRA,GDP growth (annual %),1.220777824,-3.276758796,4.762604379,3.016694354,3.241655329,3.395866455
Barbados,BRB,GDP growth (annual %),0.652585418,-15.05436295,-0.25496588,17.83286303,4.09382011,3.800000319
Brunei Darussalam,BRN,GDP growth (annual %),3.868844164,1.133573406,-1.590762481,-1.62833154,1.127644192,4.200372735
Bhutan,BTN,GDP growth (annual %),5.755148512,-10.21839742,4.421367389,5.213867838,4.882593963,
Botswana,BWA,GDP growth (annual %),3.031773371,-8.728882411,11.91627241,5.486017064,3.208068122,-2.989868795
Central African Republic,CAF,GDP growth (annual %),3.1,0.899999997,0.982919996,0.453901882,0.69996839,1.539632475
Canada,CAN,GDP growth (annual %),1.908431946,-5.038233435,5.950528028,4.189036281,1.528745508,1.528081109
Central Europe and the Baltics,CEB,GDP growth (annual %),4.026711247,-3.315368105,6.546076817,4.036664142,0.763278132,1.963305524
Switzerland,CHE,GDP growth (annual %),1.14198219,-2.14173712,5.559620206,3.04406103,0.683328174,1.302333325
Channel Islands,CHI,GDP growth (annual %),1.573355962,-8.896779266,9.93680137,5.341961404,3.715005904,
Chile,CHL,GDP growth (annual %),0.634367534,-6.143474792,11.31492049,2.153993562,0.521367977,2.644311549
China,CHN,GDP growth (annual %),6.068502351,2.340188431,8.570085132,3.134188872,5.414843301,4.977356592
Cote d'Ivoire,CIV,GDP growth (annual %),6.721371676,0.699728593,7.063329102,6.399883627,6.450457969,5.95
Cameroon,CMR,GDP growth (annual %),3.475059982,0.259932916,3.338857472,3.736784006,3.248344978,3.670742847
"Congo, Dem. Rep.",COD,GDP growth (annual %),4.384528874,1.735422767,6.200154011,8.924447851,8.609089723,6.67593029
"Congo, Rep.",COG,GDP growth (annual %),1.12447392,-6.26777228,1.01507037,1.475356132,1.906864263,2.579666395
Colombia,COL,GDP growth (annual %),3.186855392,-7.185914138,10.80119819,7.328277294,0.712380032,1.74380145
Comoros,COM,GDP growth (annual %),3.628770244,4.005317935,2.725798451,2.818395066,3.064662369,3.388783506
Cabo Verde,CPV,GDP growth (annual %),6.947826341,-20.8052759,7.033530107,15.84367568,5.391144274,7.271881472
Costa Rica,CRI,GDP growth (annual %),2.417511818,-4.273354322,7.935762247,4.55149178,5.111921832,4.321224296
Caribbean small states,CSS,GDP growth (annual %),0.919134168,-9.113253104,6.47906911,15.01815716,9.007951962,13.34432587
Cuba,CUB,GDP growth (annual %),-0.163087224,-10.9490846,1.253693425,1.775048798,-1.929371232,
Curacao,CUW,GDP growth (annual %),-3.206131719,-18.43847035,4.183711931,7.923,4.202,
Cayman Islands,CYM,GDP growth (annual %),3.915635342,-4.954806408,4.904929413,5.156329542,4.359675957,
Cyprus,CYP,GDP growth (annual %),5.875595834,-3.220630186,11.38818927,7.204867807,2.763909754,3.448061704
Czechia,CZE,GDP growth (annual %),3.565776581,-5.304879555,4.029018321,2.847170658,-0.05526182,1.120384627
Germany,DEU,GDP growth (annual %),0.98789335,-4.095137517,3.669999884,1.369731046,-0.266438401,-0.238526858
Djibouti,DJI,GDP growth (annual %),5.545080812,1.202115173,4.407156676,5.166537029,7.372071487,5.953829989
Dominica,DMA,GDP growth (annual %),3.948097579,-15.70640245,5.37983839,10.39680766,3.652210122,2.052738473
Denmark,DNK,GDP growth (annual %),1.711400939,-1.780106018,7.382066334,1.540173074,2.495184345,3.67619735
Dominican Republic,DOM,GDP growth (annual %),4.894030115,-7.929052342,14.01242891,5.237956529,2.192298482,4.951696872
Algeria,DZA,GDP growth (annual %),0.899999999,-4.999999999,3.799999999,3.600000001,4.1,3.299999999
East Asia & Pacific (excluding high income),EAP,GDP growth (annual %),5.885793589,1.345288965,7.719798659,3.545375004,5.254778219,4.962599562
Early-demographic dividend,EAR,GDP growth (annual %),2.387191247,-4.215304366,7.5064814,5.960194603,4.61090087,3.582461041
East Asia & Pacific,EAS,GDP growth (annual %),4.043729245,-0.054128673,6.339735835,2.990471595,4.193954951,3.894593151
Europe & Central Asia (excluding high income),ECA,GDP growth (annual %),2.306489344,0.295023817,9.044767936,3.105834461,5.075840028,3.751939096
Europe & Central Asia,ECS,GDP growth (annual %),1.85681538,-5.407884962,6.766424481,3.30115667,1.069446516,1.515784511
Ecuador,ECU,GDP growth (annual %),0.165404465,-9.245096192,9.42189269,5.868423549,1.98823814,-2.001254763
